"posXY","posX","posY","orientation","angle","00:0f:a3:39:dd:cd","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90"
"0-0.05",0,0.05,130.5,135,-63.2072072072072,-52.2272727272727,-62.9489795918367,-61.8139534883721,-40.0689655172414,-63.0430107526882,-55.2333333333333
"0.15-9.42",0.15,9.42,112.3,90,-66.1171171171171,-55.2752293577982,-73.9619047619048,-72.701030927835,-47.8130841121495,-69.4545454545455,-46.88
"0.31-11.09",0.31,11.09,230.1,225,-67.054054054054,-51.7090909090909,-70.0824742268041,-70.0989010989011,-54.0882352941176,-69.1315789473684,-53.8865979381443
"0.47-8.2",0.47,8.2,5.8,0,-74.1531531531532,-49.5,-64.258064516129,-72.5977011494253,-45.6528925619835,-60.7974683544304,-49.58
"0.78-10.94",0.78,10.94,348.3,0,-71.4036697247706,-53.2636363636364,-66.96,-66.8095238095238,-48.4137931034483,-65,-54.8469387755102
"0.93-11.69",0.93,11.69,158.3,180,-69.9907407407407,-57.9636363636364,-70.4433962264151,-70.5802469135803,-43.6634615384615,-65.5930232558139,-47.2708333333333
"1.08-12.19",1.08,12.19,229.1,225,-73.4375,-54.8272727272727,-69.2019230769231,-67.9255319148936,-52.0081967213115,-71.5869565217391,-51.6666666666667
"1.24-3.93",1.24,3.93,261.5,270,-71.1100917431193,-56.4727272727273,-69.6274509803922,-59.7613636363636,-38.9175257731959,-71.6666666666667,-53.2333333333333
"1.39-6.61",1.39,6.61,114.1,135,-59.7567567567568,-51.2818181818182,-62.2391304347826,-64.566265060241,-48.9238095238095,-60.7979797979798,-50.4905660377358
"1.52-9.32",1.52,9.32,7,0,-65.3831775700935,-50.3669724770642,-63.3592233009709,-67.4891304347826,-50.0416666666667,-65.1034482758621,-49.3854166666667
"1.55-0.96",1.55,0.96,337.3,315,-68.0648148148148,-49.1775700934579,-66.0898876404494,-57.6931818181818,-42.9903846153846,-63.5263157894737,-50.04
"1.58-5.26",1.58,5.26,187,180,-72.0733944954128,-50.5818181818182,-64.6666666666667,-57.4270833333333,-40.5098039215686,-61.9777777777778,-62.4891304347826
"1.71-1.81",1.71,1.81,86.6,90,-65.5363636363636,-54.5585585585586,-61.7578947368421,-66.1208791208791,-37.01,-64.3372093023256,-53.2135922330097
